bus_id,route_id,route_nm,route_ord,node_id,ars_id,node_nm,lngt,la
b023741,100100029,150,35,101000004,2004,서울역버스환승센터,126.9725951,37.55538899
b023742,100100294,6514,35,118000023,19107,영등포시장로터리방면,126.909291,37.51892
b023743,100100604,4211,35,103000505,4306,행당중학교,127.043024,37.553781
b023744,109900010,노원15,35,108000385,10343,한국사회봉사회,127.014675,37.662163
b023745,106000003,N840,35,121000015,22015,신사역.푸른저축은행,127.0200637,37.51413699
b023746,115000006,6019,35,119000081,20174,총신대,126.9661798,37.48874228
b023747,123000006,06-Jan,35,161000566,92568,영종역,126.5233288,37.50959211
b023748,100100193,2114,35,106000297,7395,중화역입구대원사약국,127.0777108,37.60125308
b023749,124000013,6103,35,115000905,16942,마곡철교(가상),126.8368633,37.5774689
b023750,100100591,N30,35,100000367,1044,동묘앞,127.0195286,37.57428153
b023751,100100571,6704,35,119000306,20996,한강대교(가상),126.9571941,37.51411978
b023752,123000004,8336,35,123000271,24362,가락2동주민센터,127.1267123,37.49876612
b023753,100100166,2212,35,106000125,7220,면목5동,127.0758896,37.58560777
b023754,100100185,1711,35,102000150,3244,도원삼성래미안아파트,126.9572103,37.53962541
b023755,100100307,6630,35,115000088,16185,화곡8동주민센터.까치산시장,126.8488201,37.53058851
b023756,100100188,2013,35,103000159,4261,청계9가.텐즈힐2단지 정문앞,127.025565,37.57075
b023757,100100478,3317,35,123000192,24282,마천1동주민센터,127.149613,37.495774
b023758,100100175,1213,35,107000017,8107,국민대앞,126.9940273,37.61067955
b023759,100100173,1166,35,108000077,9165,강북청소년문화정보도서관입구,127.0205867,37.62151722
b023760,100100246,4432,35,121000241,22317,본마을,127.051343,37.453454
b023761,100100205,2234,35,106000209,7304,신내초등학교,127.10075,37.6061556
b023762,111000019,2236,35,106000038,7132,지하철7호선상봉역,127.088627,37.597363
b023763,100100142,1126,35,109000094,10179,샘말어린이공원,127.0318159,37.66866721
b023764,100100331,6714,35,112000037,13120,이대부고,126.946423,37.565531
b023765,100100578,3321,35,124000170,25282,강동구청,127.122567,37.529925
b023766,100100320,6647,35,115000641,16705,마곡엠밸리4단지,126.8249811,37.56893158
b023767,100100413,6002,35,105000408,6756,서울시립대입구,127.0538031,37.58285626
b023768,100100293,6713,35,113000414,14016,홍대입구역,126.924317,37.557325
b023769,111000016,N75,35,113000476,14067,웨딩타운,126.951517,37.557092
